dex,name,type_1,type_2,total,hp,attack,defense,sp_atk,sp_def,speed,poke_links,generation,image_url
0001,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,https://pokemondb.net/pokedex/bulbasaur,1,https://img.pokemondb.net/artwork/large/bulbasaur.jpg
0002,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,https://pokemondb.net/pokedex/ivysaur,1,https://img.pokemondb.net/artwork/large/ivysaur.jpg
0003,Venusaur,Grass,Poison,525,80,82,83,100,100,80,https://pokemondb.net/pokedex/venusaur,1,https://img.pokemondb.net/artwork/large/venusaur.jpg
0004,Charmander,Fire,None,309,39,52,43,60,50,65,https://pokemondb.net/pokedex/charmander,1,https://img.pokemondb.net/artwork/large/charmander.jpg
0005,Charmeleon,Fire,None,405,58,64,58,80,65,80,https://pokemondb.net/pokedex/charmeleon,1,https://img.pokemondb.net/artwork/large/charmeleon.jpg
0006,Charizard,Fire,Flying,534,78,84,78,109,85,100,https://pokemondb.net/pokedex/charizard,1,https://img.pokemondb.net/artwork/large/charizard.jpg
0007,Squirtle,Water,None,314,44,48,65,50,64,43,https://pokemondb.net/pokedex/squirtle,1,https://img.pokemondb.net/artwork/large/squirtle.jpg
0008,Wartortle,Water,None,405,59,63,80,65,80,58,https://pokemondb.net/pokedex/wartortle,1,https://img.pokemondb.net/artwork/large/wartortle.jpg
0009,Blastoise,Water,None,530,79,83,100,85,105,78,https://pokemondb.net/pokedex/blastoise,1,https://img.pokemondb.net/artwork/large/blastoise.jpg
0010,Caterpie,Bug,None,195,45,30,35,20,20,45,https://pokemondb.net/pokedex/caterpie,1,https://img.pokemondb.net/artwork/large/caterpie.jpg
0011,Metapod,Bug,None,205,50,20,55,25,25,30,https://pokemondb.net/pokedex/metapod,1,https://img.pokemondb.net/artwork/large/metapod.jpg
0012,Butterfree,Bug,Flying,395,60,45,50,90,80,70,https://pokemondb.net/pokedex/butterfree,1,https://img.pokemondb.net/artwork/large/butterfree.jpg
0013,Weedle,Bug,Poison,195,40,35,30,20,20,50,https://pokemondb.net/pokedex/weedle,1,https://img.pokemondb.net/artwork/large/weedle.jpg
0014,Kakuna,Bug,Poison,205,45,25,50,25,25,35,https://pokemondb.net/pokedex/kakuna,1,https://img.pokemondb.net/artwork/large/kakuna.jpg
0015,Beedrill,Bug,Poison,395,65,90,40,45,80,75,https://pokemondb.net/pokedex/beedrill,1,https://img.pokemondb.net/artwork/large/beedrill.jpg
0016,Pidgey,Normal,Flying,251,40,45,40,35,35,56,https://pokemondb.net/pokedex/pidgey,1,https://img.pokemondb.net/artwork/large/pidgey.jpg
0017,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,https://pokemondb.net/pokedex/pidgeotto,1,https://img.pokemondb.net/artwork/large/pidgeotto.jpg
0018,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,https://pokemondb.net/pokedex/pidgeot,1,https://img.pokemondb.net/artwork/large/pidgeot.jpg
0019,Rattata,Normal,None,253,30,56,35,25,35,72,https://pokemondb.net/pokedex/rattata,1,https://img.pokemondb.net/artwork/large/rattata.jpg
0020,Raticate,Normal,None,413,55,81,60,50,70,97,https://pokemondb.net/pokedex/raticate,1,https://img.pokemondb.net/artwork/large/raticate.jpg
0021,Spearow,Normal,Flying,262,40,60,30,31,31,70,https://pokemondb.net/pokedex/spearow,1,https://img.pokemondb.net/artwork/large/spearow.jpg
0022,Fearow,Normal,Flying,442,65,90,65,61,61,100,https://pokemondb.net/pokedex/fearow,1,https://img.pokemondb.net/artwork/large/fearow.jpg
0023,Ekans,Poison,None,288,35,60,44,40,54,55,https://pokemondb.net/pokedex/ekans,1,https://img.pokemondb.net/artwork/large/ekans.jpg
0024,Arbok,Poison,None,448,60,95,69,65,79,80,https://pokemondb.net/pokedex/arbok,1,https://img.pokemondb.net/artwork/large/arbok.jpg
0025,Pikachu,Electric,None,320,35,55,40,50,50,90,https://pokemondb.net/pokedex/pikachu,1,https://img.pokemondb.net/artwork/large/pikachu.jpg
0026,Raichu,Electric,None,485,60,90,55,90,80,110,https://pokemondb.net/pokedex/raichu,1,https://img.pokemondb.net/artwork/large/raichu.jpg
0027,Sandshrew,Ground,None,300,50,75,85,20,30,40,https://pokemondb.net/pokedex/sandshrew,1,https://img.pokemondb.net/artwork/large/sandshrew.jpg
0028,Sandslash,Ground,None,450,75,100,110,45,55,65,https://pokemondb.net/pokedex/sandslash,1,https://img.pokemondb.net/artwork/large/sandslash.jpg
0029,Nidoran♀,Poison,None,275,55,47,52,40,40,41,https://pokemondb.net/pokedex/nidoran-f,1,https://img.pokemondb.net/artwork/large/nidoran-f.jpg
0030,Nidorina,Poison,None,365,70,62,67,55,55,56,https://pokemondb.net/pokedex/nidorina,1,https://img.pokemondb.net/artwork/large/nidorina.jpg
0031,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,https://pokemondb.net/pokedex/nidoqueen,1,https://img.pokemondb.net/artwork/large/nidoqueen.jpg
0032,Nidoran♂,Poison,None,273,46,57,40,40,40,50,https://pokemondb.net/pokedex/nidoran-m,1,https://img.pokemondb.net/artwork/large/nidoran-m.jpg
0033,Nidorino,Poison,None,365,61,72,57,55,55,65,https://pokemondb.net/pokedex/nidorino,1,https://img.pokemondb.net/artwork/large/nidorino.jpg
0034,Nidoking,Poison,Ground,505,81,102,77,85,75,85,https://pokemondb.net/pokedex/nidoking,1,https://img.pokemondb.net/artwork/large/nidoking.jpg
0035,Clefairy,Fairy,None,323,70,45,48,60,65,35,https://pokemondb.net/pokedex/clefairy,1,https://img.pokemondb.net/artwork/large/clefairy.jpg
0036,Clefable,Fairy,None,483,95,70,73,95,90,60,https://pokemondb.net/pokedex/clefable,1,https://img.pokemondb.net/artwork/large/clefable.jpg
0037,Vulpix,Fire,None,299,38,41,40,50,65,65,https://pokemondb.net/pokedex/vulpix,1,https://img.pokemondb.net/artwork/large/vulpix.jpg
0038,Ninetales,Fire,None,505,73,76,75,81,100,100,https://pokemondb.net/pokedex/ninetales,1,https://img.pokemondb.net/artwork/large/ninetales.jpg
0039,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,https://pokemondb.net/pokedex/jigglypuff,1,https://img.pokemondb.net/artwork/large/jigglypuff.jpg
0040,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,https://pokemondb.net/pokedex/wigglytuff,1,https://img.pokemondb.net/artwork/large/wigglytuff.jpg
0041,Zubat,Poison,Flying,245,40,45,35,30,40,55,https://pokemondb.net/pokedex/zubat,1,https://img.pokemondb.net/artwork/large/zubat.jpg
0042,Golbat,Poison,Flying,455,75,80,70,65,75,90,https://pokemondb.net/pokedex/golbat,1,https://img.pokemondb.net/artwork/large/golbat.jpg
0043,Oddish,Grass,Poison,320,45,50,55,75,65,30,https://pokemondb.net/pokedex/oddish,1,https://img.pokemondb.net/artwork/large/oddish.jpg
0044,Gloom,Grass,Poison,395,60,65,70,85,75,40,https://pokemondb.net/pokedex/gloom,1,https://img.pokemondb.net/artwork/large/gloom.jpg
0045,Vileplume,Grass,Poison,490,75,80,85,110,90,50,https://pokemondb.net/pokedex/vileplume,1,https://img.pokemondb.net/artwork/large/vileplume.jpg
0046,Paras,Bug,Grass,285,35,70,55,45,55,25,https://pokemondb.net/pokedex/paras,1,https://img.pokemondb.net/artwork/large/paras.jpg
0047,Parasect,Bug,Grass,405,60,95,80,60,80,30,https://pokemondb.net/pokedex/parasect,1,https://img.pokemondb.net/artwork/large/parasect.jpg
0048,Venonat,Bug,Poison,305,60,55,50,40,55,45,https://pokemondb.net/pokedex/venonat,1,https://img.pokemondb.net/artwork/large/venonat.jpg
0049,Venomoth,Bug,Poison,450,70,65,60,90,75,90,https://pokemondb.net/pokedex/venomoth,1,https://img.pokemondb.net/artwork/large/venomoth.jpg
0050,Diglett,Ground,None,265,10,55,25,35,45,95,https://pokemondb.net/pokedex/diglett,1,https://img.pokemondb.net/artwork/large/diglett.jpg
0051,Dugtrio,Ground,None,425,35,100,50,50,70,120,https://pokemondb.net/pokedex/dugtrio,1,https://img.pokemondb.net/artwork/large/dugtrio.jpg
0052,Meowth,Normal,None,290,40,45,35,40,40,90,https://pokemondb.net/pokedex/meowth,1,https://img.pokemondb.net/artwork/large/meowth.jpg
0053,Persian,Normal,None,440,65,70,60,65,65,115,https://pokemondb.net/pokedex/persian,1,https://img.pokemondb.net/artwork/large/persian.jpg
0054,Psyduck,Water,None,320,50,52,48,65,50,55,https://pokemondb.net/pokedex/psyduck,1,https://img.pokemondb.net/artwork/large/psyduck.jpg
0055,Golduck,Water,None,500,80,82,78,95,80,85,https://pokemondb.net/pokedex/golduck,1,https://img.pokemondb.net/artwork/large/golduck.jpg
